name	craft	giTag	district	state	coordinates	significance	odopProduct	heritageNote	description	Address	Looms Available	Weaver / Owner
Artisan JAM-111	Khatamband	N/A	Srinagar	Jammu & Kashmir	[34.0911, 74.8012]	9	Khatamband Specialty	Geometric interlocking wooden ceiling craft assembled completely without nails.	Master craft specialist creating premium Khatamband. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-111
Artisan JAM-112	Copperware	N/A	Ganderbal	Jammu & Kashmir	[34.2264, 74.7736]	8	Copperware Specialty	Traditional engraved and tinned copper vessels (Samovars) used in Kashmiri homes.	Master craft specialist creating premium Copperware. Registered generational family unit.	Artisan Cluster, Ganderbal, Jammu & Kashmir	N/A	Artisan JAM-112
Artisan JAM-113	Pashmina Shawls	N/A	Srinagar	Jammu & Kashmir	[34.0837, 74.7973]	9	Pashmina Shawls Specialty	Spun from the delicate undercoat of Changthangi goats.	Master craft specialist creating premium Pashmina Shawls. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-113
Artisan JAM-114	Kani Weaving	N/A	Budgam	Jammu & Kashmir	[34.0161, 74.7814]	8	Kani Weaving Specialty	Woven using tiny wooden eyeless spools called Kanis with coded Talim guides.	Master craft specialist creating premium Kani Weaving. Registered generational family unit.	Artisan Cluster, Budgam, Jammu & Kashmir	2	Artisan JAM-114
Artisan JAM-115	Papier-mâché Art	N/A	Srinagar	Jammu & Kashmir	[34.1012, 74.8124]	9	Papier-mâché Art Specialty	Molded paper pulp decorated with miniature paintings and gold leaf leafing.	Master craft specialist creating premium Papier-mâché Art. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-115
Artisan HIM-101	Kullu Shawls	N/A	Kullu	Himachal Pradesh	[31.9578, 77.1095]	9	Kullu Shawls Specialty	Features distinct geometric border patterns inspired by local flora and mountains.	Master craft specialist creating premium Kullu Shawls. Registered generational family unit.	Artisan Cluster, Kullu, Himachal Pradesh	N/A	Artisan HIM-101
Artisan HIM-102	Kinnauri Caps	N/A	Kinnaur	Himachal Pradesh	[31.6504, 78.4753]	8	Kinnauri Caps Specialty	Distinct regional headwear boasting highly colorful and symmetrical borders.	Master craft specialist creating premium Kinnauri Caps. Registered generational family unit.	Artisan Cluster, Kinnaur, Himachal Pradesh	N/A	Artisan HIM-102
Artisan HIM-103	Chamba Rumal Embroidery	N/A	Chamba	Himachal Pradesh	[32.5534, 76.1258]	9	Chamba Rumal Embroidery Specialty	Double-sided satin stitch embroidery making the design identical on both sides.	Master craft specialist creating premium Chamba Rumal Embroidery. Registered generational family unit.	Artisan Cluster, Chamba, Himachal Pradesh	N/A	Artisan HIM-103
Artisan HIM-104	Kangra Miniature Painting	N/A	Kangra	Himachal Pradesh	[32.0998, 76.2691]	8	Kangra Miniature Painting Specialty	Delicate court art utilizing natural minerals and subtle leafy pigments.	Master craft specialist creating premium Kangra Miniature Painting. Registered generational family unit.	Artisan Cluster, Kangra, Himachal Pradesh	N/A	Artisan HIM-104
Artisan HIM-105	Kullu Shawls	N/A	Kullu	Himachal Pradesh	[31.9578, 77.1095]	9	Kullu Shawls Specialty	Features distinct geometric border patterns inspired by local flora and mountains.	Master craft specialist creating premium Kullu Shawls. Registered generational family unit.	Artisan Cluster, Kullu, Himachal Pradesh	N/A	Artisan HIM-105
Artisan HIM-106	Kinnauri Caps	N/A	Kinnaur	Himachal Pradesh	[31.6504, 78.4753]	8	Kinnauri Caps Specialty	Distinct regional headwear boasting highly colorful and symmetrical borders.	Master craft specialist creating premium Kinnauri Caps. Registered generational family unit.	Artisan Cluster, Kinnaur, Himachal Pradesh	N/A	Artisan HIM-106
Artisan HIM-107	Chamba Rumal Embroidery	N/A	Chamba	Himachal Pradesh	[32.5534, 76.1258]	9	Chamba Rumal Embroidery Specialty	Double-sided satin stitch embroidery making the design identical on both sides.	Master craft specialist creating premium Chamba Rumal Embroidery. Registered generational family unit.	Artisan Cluster, Chamba, Himachal Pradesh	N/A	Artisan HIM-107
Artisan HIM-108	Kangra Miniature Painting	N/A	Kangra	Himachal Pradesh	[32.0998, 76.2691]	8	Kangra Miniature Painting Specialty	Delicate court art utilizing natural minerals and subtle leafy pigments.	Master craft specialist creating premium Kangra Miniature Painting. Registered generational family unit.	Artisan Cluster, Kangra, Himachal Pradesh	N/A	Artisan HIM-108
Artisan HIM-109	Kullu Shawls	N/A	Kullu	Himachal Pradesh	[31.9578, 77.1095]	9	Kullu Shawls Specialty	Features distinct geometric border patterns inspired by local flora and mountains.	Master craft specialist creating premium Kullu Shawls. Registered generational family unit.	Artisan Cluster, Kullu, Himachal Pradesh	N/A	Artisan HIM-109
Artisan HIM-110	Kinnauri Caps	N/A	Kinnaur	Himachal Pradesh	[31.6504, 78.4753]	8	Kinnauri Caps Specialty	Distinct regional headwear boasting highly colorful and symmetrical borders.	Master craft specialist creating premium Kinnauri Caps. Registered generational family unit.	Artisan Cluster, Kinnaur, Himachal Pradesh	N/A	Artisan HIM-110
Artisan HIM-111	Chamba Rumal Embroidery	N/A	Chamba	Himachal Pradesh	[32.5534, 76.1258]	9	Chamba Rumal Embroidery Specialty	Double-sided satin stitch embroidery making the design identical on both sides.	Master craft specialist creating premium Chamba Rumal Embroidery. Registered generational family unit.	Artisan Cluster, Chamba, Himachal Pradesh	N/A	Artisan HIM-111
Artisan HIM-112	Kangra Miniature Painting	N/A	Kangra	Himachal Pradesh	[32.0998, 76.2691]	8	Kangra Miniature Painting Specialty	Delicate court art utilizing natural minerals and subtle leafy pigments.	Master craft specialist creating premium Kangra Miniature Painting. Registered generational family unit.	Artisan Cluster, Kangra, Himachal Pradesh	N/A	Artisan HIM-112
Artisan HIM-113	Kullu Shawls	N/A	Kullu	Himachal Pradesh	[31.9578, 77.1095]	9	Kullu Shawls Specialty	Features distinct geometric border patterns inspired by local flora and mountains.	Master craft specialist creating premium Kullu Shawls. Registered generational family unit.	Artisan Cluster, Kullu, Himachal Pradesh	N/A	Artisan HIM-113
Artisan HIM-114	Kinnauri Caps	N/A	Kinnaur	Himachal Pradesh	[31.6504, 78.4753]	8	Kinnauri Caps Specialty	Distinct regional headwear boasting highly colorful and symmetrical borders.	Master craft specialist creating premium Kinnauri Caps. Registered generational family unit.	Artisan Cluster, Kinnaur, Himachal Pradesh	N/A	Artisan HIM-114
Artisan HIM-115	Chamba Rumal Embroidery	N/A	Chamba	Himachal Pradesh	[32.5534, 76.1258]	9	Chamba Rumal Embroidery Specialty	Double-sided satin stitch embroidery making the design identical on both sides.	Master craft specialist creating premium Chamba Rumal Embroidery. Registered generational family unit.	Artisan Cluster, Chamba, Himachal Pradesh	N/A	Artisan HIM-115
Artisan PUN-101	Phulkari Embroidery	N/A	Patiala	Punjab	[30.3398, 76.3869]	9	Phulkari Embroidery Specialty	Darn stitch embroidery executed over coarse khaddar using untwisted silk floss.	Master craft specialist creating premium Phulkari Embroidery. Registered generational family unit.	Artisan Cluster, Patiala, Punjab	N/A	Artisan PUN-101
Artisan PUN-102	Traditional Juttis	N/A	Muktsar	Punjab	[30.4749, 74.5129]	8	Traditional Juttis Specialty	Hand-stitched leather footwear embellished with fine tilla or thread embroidery.	Master craft specialist creating premium Traditional Juttis. Registered generational family unit.	Artisan Cluster, Muktsar, Punjab	N/A	Artisan PUN-102
Artisan PUN-103	Durri Weaving	N/A	Anandpur Sahib	Punjab	[31.2334, 76.4942]	9	Durri Weaving Specialty	Flat-woven underlays featuring traditional bold geometric band motifs.	Master craft specialist creating premium Durri Weaving. Registered generational family unit.	Artisan Cluster, Anandpur Sahib, Punjab	2	Artisan PUN-103
Artisan PUN-104	Brass Inlay Work	N/A	Hoshiarpur	Punjab	[31.5143, 75.9115]	8	Brass Inlay Work Specialty	Intricate geometric brass wire embedding on dark sheesham wood blocks.	Master craft specialist creating premium Brass Inlay Work. Registered generational family unit.	Artisan Cluster, Hoshiarpur, Punjab	N/A	Artisan PUN-104
Artisan PUN-105	Phulkari Embroidery	N/A	Patiala	Punjab	[30.3398, 76.3869]	9	Phulkari Embroidery Specialty	Darn stitch embroidery executed over coarse khaddar using untwisted silk floss.	Master craft specialist creating premium Phulkari Embroidery. Registered generational family unit.	Artisan Cluster, Patiala, Punjab	N/A	Artisan PUN-105
Artisan PUN-106	Traditional Juttis	N/A	Muktsar	Punjab	[30.4749, 74.5129]	8	Traditional Juttis Specialty	Hand-stitched leather footwear embellished with fine tilla or thread embroidery.	Master craft specialist creating premium Traditional Juttis. Registered generational family unit.	Artisan Cluster, Muktsar, Punjab	N/A	Artisan PUN-106
Artisan PUN-107	Durri Weaving	N/A	Anandpur Sahib	Punjab	[31.2334, 76.4942]	9	Durri Weaving Specialty	Flat-woven underlays featuring traditional bold geometric band motifs.	Master craft specialist creating premium Durri Weaving. Registered generational family unit.	Artisan Cluster, Anandpur Sahib, Punjab	2	Artisan PUN-107
Artisan PUN-108	Brass Inlay Work	N/A	Hoshiarpur	Punjab	[31.5143, 75.9115]	8	Brass Inlay Work Specialty	Intricate geometric brass wire embedding on dark sheesham wood blocks.	Master craft specialist creating premium Brass Inlay Work. Registered generational family unit.	Artisan Cluster, Hoshiarpur, Punjab	N/A	Artisan PUN-108
Artisan PUN-109	Phulkari Embroidery	N/A	Patiala	Punjab	[30.3398, 76.3869]	9	Phulkari Embroidery Specialty	Darn stitch embroidery executed over coarse khaddar using untwisted silk floss.	Master craft specialist creating premium Phulkari Embroidery. Registered generational family unit.	Artisan Cluster, Patiala, Punjab	N/A	Artisan PUN-109
Artisan PUN-110	Traditional Juttis	N/A	Muktsar	Punjab	[30.4749, 74.5129]	8	Traditional Juttis Specialty	Hand-stitched leather footwear embellished with fine tilla or thread embroidery.	Master craft specialist creating premium Traditional Juttis. Registered generational family unit.	Artisan Cluster, Muktsar, Punjab	N/A	Artisan PUN-110
Artisan PUN-111	Durri Weaving	N/A	Anandpur Sahib	Punjab	[31.2334, 76.4942]	9	Durri Weaving Specialty	Flat-woven underlays featuring traditional bold geometric band motifs.	Master craft specialist creating premium Durri Weaving. Registered generational family unit.	Artisan Cluster, Anandpur Sahib, Punjab	2	Artisan PUN-111
Artisan PUN-112	Brass Inlay Work	N/A	Hoshiarpur	Punjab	[31.5143, 75.9115]	8	Brass Inlay Work Specialty	Intricate geometric brass wire embedding on dark sheesham wood blocks.	Master craft specialist creating premium Brass Inlay Work. Registered generational family unit.	Artisan Cluster, Hoshiarpur, Punjab	N/A	Artisan PUN-112
Artisan PUN-113	Phulkari Embroidery	N/A	Patiala	Punjab	[30.3398, 76.3869]	9	Phulkari Embroidery Specialty	Darn stitch embroidery executed over coarse khaddar using untwisted silk floss.	Master craft specialist creating premium Phulkari Embroidery. Registered generational family unit.	Artisan Cluster, Patiala, Punjab	N/A	Artisan PUN-113
Artisan PUN-114	Traditional Juttis	N/A	Muktsar	Punjab	[30.4749, 74.5129]	8	Traditional Juttis Specialty	Hand-stitched leather footwear embellished with fine tilla or thread embroidery.	Master craft specialist creating premium Traditional Juttis. Registered generational family unit.	Artisan Cluster, Muktsar, Punjab	N/A	Artisan PUN-114
Artisan PUN-115	Durri Weaving	N/A	Anandpur Sahib	Punjab	[31.2334, 76.4942]	9	Durri Weaving Specialty	Flat-woven underlays featuring traditional bold geometric band motifs.	Master craft specialist creating premium Durri Weaving. Registered generational family unit.	Artisan Cluster, Anandpur Sahib, Punjab	2	Artisan PUN-115
Artisan HAR-101	Panipat Durries	N/A	Panipat	Haryana	[29.3904, 76.9635]	9	Panipat Durries Specialty	Heavy flat-weave cotton rugs produced on traditional horizontal looms.	Master craft specialist creating premium Panipat Durries. Registered generational family unit.	Artisan Cluster, Panipat, Haryana	N/A	Artisan HAR-101
Artisan HAR-102	Tilla Jutti Craft	N/A	Rewari	Haryana	[28.1834, 76.6135]	8	Tilla Jutti Craft Specialty	Traditional footwear decorated with gold and silver metallic tilla threads.	Master craft specialist creating premium Tilla Jutti Craft. Registered generational family unit.	Artisan Cluster, Rewari, Haryana	N/A	Artisan HAR-102
Artisan HAR-103	Clay Pottery	N/A	Jhajjar	Haryana	[28.6063, 76.6566]	9	Clay Pottery Specialty	Hand-thrown functional earthenware baked using conventional open pit kilns.	Master craft specialist creating premium Clay Pottery. Registered generational family unit.	Artisan Cluster, Jhajjar, Haryana	N/A	Artisan HAR-103
Artisan HAR-104	Panipat Durries	N/A	Panipat	Haryana	[29.3904, 76.9635]	8	Panipat Durries Specialty	Heavy flat-weave cotton rugs produced on traditional horizontal looms.	Master craft specialist creating premium Panipat Durries. Registered generational family unit.	Artisan Cluster, Panipat, Haryana	N/A	Artisan HAR-104
Artisan HAR-105	Tilla Jutti Craft	N/A	Rewari	Haryana	[28.1834, 76.6135]	9	Tilla Jutti Craft Specialty	Traditional footwear decorated with gold and silver metallic tilla threads.	Master craft specialist creating premium Tilla Jutti Craft. Registered generational family unit.	Artisan Cluster, Rewari, Haryana	N/A	Artisan HAR-105
Artisan HAR-106	Clay Pottery	N/A	Jhajjar	Haryana	[28.6063, 76.6566]	8	Clay Pottery Specialty	Hand-thrown functional earthenware baked using conventional open pit kilns.	Master craft specialist creating premium Clay Pottery. Registered generational family unit.	Artisan Cluster, Jhajjar, Haryana	N/A	Artisan HAR-106
Artisan HAR-107	Panipat Durries	N/A	Panipat	Haryana	[29.3904, 76.9635]	9	Panipat Durries Specialty	Heavy flat-weave cotton rugs produced on traditional horizontal looms.	Master craft specialist creating premium Panipat Durries. Registered generational family unit.	Artisan Cluster, Panipat, Haryana	N/A	Artisan HAR-107
Artisan HAR-108	Tilla Jutti Craft	N/A	Rewari	Haryana	[28.1834, 76.6135]	8	Tilla Jutti Craft Specialty	Traditional footwear decorated with gold and silver metallic tilla threads.	Master craft specialist creating premium Tilla Jutti Craft. Registered generational family unit.	Artisan Cluster, Rewari, Haryana	N/A	Artisan HAR-108
Artisan HAR-109	Clay Pottery	N/A	Jhajjar	Haryana	[28.6063, 76.6566]	9	Clay Pottery Specialty	Hand-thrown functional earthenware baked using conventional open pit kilns.	Master craft specialist creating premium Clay Pottery. Registered generational family unit.	Artisan Cluster, Jhajjar, Haryana	N/A	Artisan HAR-109
Artisan HAR-110	Panipat Durries	N/A	Panipat	Haryana	[29.3904, 76.9635]	8	Panipat Durries Specialty	Heavy flat-weave cotton rugs produced on traditional horizontal looms.	Master craft specialist creating premium Panipat Durries. Registered generational family unit.	Artisan Cluster, Panipat, Haryana	N/A	Artisan HAR-110
Artisan HAR-111	Tilla Jutti Craft	N/A	Rewari	Haryana	[28.1834, 76.6135]	9	Tilla Jutti Craft Specialty	Traditional footwear decorated with gold and silver metallic tilla threads.	Master craft specialist creating premium Tilla Jutti Craft. Registered generational family unit.	Artisan Cluster, Rewari, Haryana	N/A	Artisan HAR-111
Artisan HAR-112	Clay Pottery	N/A	Jhajjar	Haryana	[28.6063, 76.6566]	8	Clay Pottery Specialty	Hand-thrown functional earthenware baked using conventional open pit kilns.	Master craft specialist creating premium Clay Pottery. Registered generational family unit.	Artisan Cluster, Jhajjar, Haryana	N/A	Artisan HAR-112
Artisan HAR-113	Panipat Durries	N/A	Panipat	Haryana	[29.3904, 76.9635]	9	Panipat Durries Specialty	Heavy flat-weave cotton rugs produced on traditional horizontal looms.	Master craft specialist creating premium Panipat Durries. Registered generational family unit.	Artisan Cluster, Panipat, Haryana	N/A	Artisan HAR-113
Artisan HAR-114	Tilla Jutti Craft	N/A	Rewari	Haryana	[28.1834, 76.6135]	8	Tilla Jutti Craft Specialty	Traditional footwear decorated with gold and silver metallic tilla threads.	Master craft specialist creating premium Tilla Jutti Craft. Registered generational family unit.	Artisan Cluster, Rewari, Haryana	N/A	Artisan HAR-114
Artisan HAR-115	Clay Pottery	N/A	Jhajjar	Haryana	[28.6063, 76.6566]	9	Clay Pottery Specialty	Hand-thrown functional earthenware baked using conventional open pit kilns.	Master craft specialist creating premium Clay Pottery. Registered generational family unit.	Artisan Cluster, Jhajjar, Haryana	N/A	Artisan HAR-115
Artisan DEL-101	Zardozi Embroidery	N/A	Old Delhi	Delhi	[28.6562, 77.2309]	9	Zardozi Embroidery Specialty	Opulent metallic gold thread embroidery traditionally patronized by Mughal courts.	Master craft specialist creating premium Zardozi Embroidery. Registered generational family unit.	Artisan Cluster, Old Delhi, Delhi	N/A	Artisan DEL-101
Artisan DEL-102	Handloom Durries	N/A	Mehrauli	Delhi	[28.5273, 77.1812]	8	Handloom Durries Specialty	Compact decorative cotton floor coverings woven manually in urban clusters.	Master craft specialist creating premium Handloom Durries. Registered generational family unit.	Artisan Cluster, Mehrauli, Delhi	N/A	Artisan DEL-102
Artisan DEL-103	Ivory-Style Bone Carving	N/A	Daryaganj	Delhi	[28.6415, 77.2409]	9	Ivory-Style Bone Carving Specialty	Meticulous miniature openwork figurines sculpted entirely on treated camel bone material.	Master craft specialist creating premium Ivory-Style Bone Carving. Registered generational family unit.	Artisan Cluster, Daryaganj, Delhi	N/A	Artisan DEL-103
Artisan DEL-104	Zardozi Embroidery	N/A	Old Delhi	Delhi	[28.6562, 77.2309]	8	Zardozi Embroidery Specialty	Opulent metallic gold thread embroidery traditionally patronized by Mughal courts.	Master craft specialist creating premium Zardozi Embroidery. Registered generational family unit.	Artisan Cluster, Old Delhi, Delhi	N/A	Artisan DEL-104
Artisan DEL-105	Handloom Durries	N/A	Mehrauli	Delhi	[28.5273, 77.1812]	9	Handloom Durries Specialty	Compact decorative cotton floor coverings woven manually in urban clusters.	Master craft specialist creating premium Handloom Durries. Registered generational family unit.	Artisan Cluster, Mehrauli, Delhi	N/A	Artisan DEL-105
Artisan DEL-106	Ivory-Style Bone Carving	N/A	Daryaganj	Delhi	[28.6415, 77.2409]	8	Ivory-Style Bone Carving Specialty	Meticulous miniature openwork figurines sculpted entirely on treated camel bone material.	Master craft specialist creating premium Ivory-Style Bone Carving. Registered generational family unit.	Artisan Cluster, Daryaganj, Delhi	N/A	Artisan DEL-106
Artisan DEL-107	Zardozi Embroidery	N/A	Old Delhi	Delhi	[28.6562, 77.2309]	9	Zardozi Embroidery Specialty	Opulent metallic gold thread embroidery traditionally patronized by Mughal courts.	Master craft specialist creating premium Zardozi Embroidery. Registered generational family unit.	Artisan Cluster, Old Delhi, Delhi	N/A	Artisan DEL-107
Artisan DEL-108	Handloom Durries	N/A	Mehrauli	Delhi	[28.5273, 77.1812]	8	Handloom Durries Specialty	Compact decorative cotton floor coverings woven manually in urban clusters.	Master craft specialist creating premium Handloom Durries. Registered generational family unit.	Artisan Cluster, Mehrauli, Delhi	N/A	Artisan DEL-108
Artisan DEL-109	Ivory-Style Bone Carving	N/A	Daryaganj	Delhi	[28.6415, 77.2409]	9	Ivory-Style Bone Carving Specialty	Meticulous miniature openwork figurines sculpted entirely on treated camel bone material.	Master craft specialist creating premium Ivory-Style Bone Carving. Registered generational family unit.	Artisan Cluster, Daryaganj, Delhi	N/A	Artisan DEL-109
Artisan DEL-110	Zardozi Embroidery	N/A	Old Delhi	Delhi	[28.6562, 77.2309]	8	Zardozi Embroidery Specialty	Opulent metallic gold thread embroidery traditionally patronized by Mughal courts.	Master craft specialist creating premium Zardozi Embroidery. Registered generational family unit.	Artisan Cluster, Old Delhi, Delhi	N/A	Artisan DEL-110
Artisan DEL-111	Handloom Durries	N/A	Mehrauli	Delhi	[28.5273, 77.1812]	9	Handloom Durries Specialty	Compact decorative cotton floor coverings woven manually in urban clusters.	Master craft specialist creating premium Handloom Durries. Registered generational family unit.	Artisan Cluster, Mehrauli, Delhi	N/A	Artisan DEL-111
Artisan DEL-112	Ivory-Style Bone Carving	N/A	Daryaganj	Delhi	[28.6415, 77.2409]	8	Ivory-Style Bone Carving Specialty	Meticulous miniature openwork figurines sculpted entirely on treated camel bone material.	Master craft specialist creating premium Ivory-Style Bone Carving. Registered generational family unit.	Artisan Cluster, Daryaganj, Delhi	N/A	Artisan DEL-112
Artisan DEL-113	Zardozi Embroidery	N/A	Old Delhi	Delhi	[28.6562, 77.2309]	9	Zardozi Embroidery Specialty	Opulent metallic gold thread embroidery traditionally patronized by Mughal courts.	Master craft specialist creating premium Zardozi Embroidery. Registered generational family unit.	Artisan Cluster, Old Delhi, Delhi	N/A	Artisan DEL-113
Artisan DEL-114	Handloom Durries	N/A	Mehrauli	Delhi	[28.5273, 77.1812]	8	Handloom Durries Specialty	Compact decorative cotton floor coverings woven manually in urban clusters.	Master craft specialist creating premium Handloom Durries. Registered generational family unit.	Artisan Cluster, Mehrauli, Delhi	N/A	Artisan DEL-114
Artisan DEL-115	Ivory-Style Bone Carving	N/A	Daryaganj	Delhi	[28.6415, 77.2409]	9	Ivory-Style Bone Carving Specialty	Meticulous miniature openwork figurines sculpted entirely on treated camel bone material.	Master craft specialist creating premium Ivory-Style Bone Carving. Registered generational family unit.	Artisan Cluster, Daryaganj, Delhi	N/A	Artisan DEL-115
Artisan UTT-101	Chikankari Embroidery	N/A	Lucknow	Uttar Pradesh	[26.8467, 80.9462]	9	Chikankari Embroidery Specialty	Exquisite white shadow-work textile artistry involving delicate hand blocks.	Master craft specialist creating premium Chikankari Embroidery. Registered generational family unit.	Artisan Cluster, Lucknow, Uttar Pradesh	N/A	Artisan UTT-101
Artisan UTT-102	Zardozi Art	N/A	Bareilly	Uttar Pradesh	[28.3670, 79.4304]	8	Zardozi Art Specialty	Heavy gold embroidery detailing done using metal wire, pearls, and beads.	Master craft specialist creating premium Zardozi Art. Registered generational family unit.	Artisan Cluster, Bareilly, Uttar Pradesh	N/A	Artisan UTT-102
Artisan UTT-103	Handmade Carpets	N/A	Bhadohi	Uttar Pradesh	[25.3905, 82.5702]	9	Handmade Carpets Specialty	World-famous hand-knotted woolen and silk floor rugs woven since the Mughal era.	Master craft specialist creating premium Handmade Carpets. Registered generational family unit.	Artisan Cluster, Bhadohi, Uttar Pradesh	N/A	Artisan UTT-103
Artisan UTT-104	Glass Bangles	N/A	Firozabad	Uttar Pradesh	[27.1513, 78.3942]	8	Glass Bangles Specialty	Centuries-old glassblowing traditions forming rich multi-colored glass bangles.	Master craft specialist creating premium Glass Bangles. Registered generational family unit.	Artisan Cluster, Firozabad, Uttar Pradesh	N/A	Artisan UTT-104
Artisan UTT-105	Moradabad Brassware	N/A	Moradabad	Uttar Pradesh	[28.8351, 78.7733]	9	Moradabad Brassware Specialty	Elegant engraved and lacquered brass sheet vessels and decor statuettes.	Master craft specialist creating premium Moradabad Brassware. Registered generational family unit.	Artisan Cluster, Moradabad, Uttar Pradesh	N/A	Artisan UTT-105
Artisan UTT-106	Chikankari Embroidery	N/A	Lucknow	Uttar Pradesh	[26.8467, 80.9462]	8	Chikankari Embroidery Specialty	Exquisite white shadow-work textile artistry involving delicate hand blocks.	Master craft specialist creating premium Chikankari Embroidery. Registered generational family unit.	Artisan Cluster, Lucknow, Uttar Pradesh	N/A	Artisan UTT-106
Artisan UTT-107	Zardozi Art	N/A	Bareilly	Uttar Pradesh	[28.3670, 79.4304]	9	Zardozi Art Specialty	Heavy gold embroidery detailing done using metal wire, pearls, and beads.	Master craft specialist creating premium Zardozi Art. Registered generational family unit.	Artisan Cluster, Bareilly, Uttar Pradesh	N/A	Artisan UTT-107
Artisan UTT-108	Handmade Carpets	N/A	Bhadohi	Uttar Pradesh	[25.3905, 82.5702]	8	Handmade Carpets Specialty	World-famous hand-knotted woolen and silk floor rugs woven since the Mughal era.	Master craft specialist creating premium Handmade Carpets. Registered generational family unit.	Artisan Cluster, Bhadohi, Uttar Pradesh	N/A	Artisan UTT-108
Artisan UTT-109	Glass Bangles	N/A	Firozabad	Uttar Pradesh	[27.1513, 78.3942]	9	Glass Bangles Specialty	Centuries-old glassblowing traditions forming rich multi-colored glass bangles.	Master craft specialist creating premium Glass Bangles. Registered generational family unit.	Artisan Cluster, Firozabad, Uttar Pradesh	N/A	Artisan UTT-109
Artisan UTT-110	Moradabad Brassware	N/A	Moradabad	Uttar Pradesh	[28.8351, 78.7733]	8	Moradabad Brassware Specialty	Elegant engraved and lacquered brass sheet vessels and decor statuettes.	Master craft specialist creating premium Moradabad Brassware. Registered generational family unit.	Artisan Cluster, Moradabad, Uttar Pradesh	N/A	Artisan UTT-110
